,order_id,customer_id,roll_id,not_include_items,extra_items_included,order_date
0,1,101,1,,,01-01-2021 18:05:02
1,2,101,1,,,01-01-2021 19:00:52
2,3,102,1,,,01-02-2021 23:51:23
3,3,102,2,,NaN,01-02-2021 23:51:23
4,4,103,1,4,,01-04-2021 13:23:46
5,4,103,1,4,,01-04-2021 13:23:46
6,4,103,2,4,,01-04-2021 13:23:46
7,5,104,1,,1,01-08-2021 21:00:29
8,6,101,2,,,01-08-2021 21:03:13
9,7,105,2,,1,01-08-2021 21:20:29
10,8,102,1,,,01-09-2021 23:54:33
11,9,103,1,4,"1,5",01-10-2021 11:22:59
12,10,104,1,,,01-11-2021 18:34:49
13,10,104,1,"2,6","1,4",01-11-2021 18:34:49
